,global Epoch,f_uav0,f_uav1,f_uav2,f_uav3,f_uav4,global_accuracy,global_loss
0,0,"{'local epoch0 loss': 3.2556324005126953, 'local epoch1 loss': 2.906748056411743}","{'local epoch0 loss': 3.6088409423828125, 'local epoch1 loss': 2.761977195739746}","{'local epoch0 loss': 3.2349894046783447, 'local epoch1 loss': 2.5834813117980957}","{'local epoch0 loss': 3.1645312309265137, 'local epoch1 loss': 2.6726083755493164}","{'local epoch0 loss': 3.3657586574554443, 'local epoch1 loss': 2.5267069339752197}",10.620000000000001,6.06736404800415
1,1,"{'local epoch0 loss': 2.778761863708496, 'local epoch1 loss': 2.762812376022339}","{'local epoch0 loss': 2.9509246349334717, 'local epoch1 loss': 2.791097640991211}","{'local epoch0 loss': 2.835073947906494, 'local epoch1 loss': 2.5141098499298096}","{'local epoch0 loss': 2.7335610389709473, 'local epoch1 loss': 2.5409090518951416}","{'local epoch0 loss': 2.7718560695648193, 'local epoch1 loss': 2.651142120361328}",11.24,4.897980252838135
