,return,energy
0,-0.45840441039548024,1631.3799291943078
1,-1.049653109772903,2227.725096543533
2,-0.28093851306135903,1469.4858423918035
3,-0.6428654331221024,1809.0743553175373
4,-0.5080312349620081,1720.0544752421592
5,-0.5427240175383505,1713.5567232268272
6,-0.5304871163145364,1746.898923374778
7,-0.434404575445292,1592.1694111844276
8,-0.6803621745669726,1858.9599317157147
9,-0.9006540503350516,2033.6093973962095
10,-0.4872584857684348,1665.394420598146
11,-0.5391893465624159,1740.0215008364028
12,-0.5841830647738266,1749.5549456866077
13,-0.6102130919687855,1792.9745766871083
14,-0.7645666281854082,1916.464401928084
15,-0.335251349955211,1530.7070372873643
16,-0.481211148042845,1663.2728734685647
17,-0.6095795941020367,1769.269073357713
18,-0.5184892691597082,1684.214488123331
19,-0.5643136315630903,1749.2017260836594
20,-0.338036240594908,1515.6113392048323
21,-0.4990158198069846,1647.681156606606
22,-0.4190084428621561,1573.7563914133336
23,-0.30209319296575665,1492.3455632279029
24,-0.07805972618280985,1251.5288938921603
25,0.03997955455744275,1152.625188637137
26,-0.2557182247498724,1459.2655527451727
27,0.04413880898657875,1157.664315250482
28,0.2367942512046465,954.9681751716962
29,0.13046002608776125,1051.2378847932814
30,0.3348434813778114,878.5612047870449
31,0.3392284010634384,838.4820639863051
32,0.2759074471916397,909.3853279624742
33,0.35577694856290176,825.3061837994642
34,0.37420304882271965,804.5677952553448
35,0.40564870610622233,788.9436799487703
36,0.40475615025963735,771.2133205274107
37,0.3143141988458046,876.3040373144736
38,0.4198713233949689,769.1620870588275
39,0.43687172056764184,758.209897169175
40,0.4312005458024364,769.4763949247972
41,0.454177556713857,761.015099612437
42,0.36934456273007843,763.4693588168574
43,0.4576259668967564,715.7222533562344
44,0.4411531760487711,722.1597170557824
45,0.43759684761893775,721.2556624518628
46,0.4278742059912407,765.1820819649972
47,0.48144473490214473,704.5689243843543
48,0.45874998040156356,713.2559665207384
49,0.45654326146107943,721.6095150663251
50,0.39432999112304745,805.7246174127189
51,0.45584303073405963,734.8212263155007
52,0.4361000768121183,761.6903418127592
53,0.45458436288998094,767.9858184798004
54,0.4476517219111664,705.4897575810212
55,0.4448808278136917,743.9979538864428
56,0.4091187794940663,780.79025180171
57,0.4336152463219062,722.2075659492123
58,0.4660705245882194,720.0577280134042
59,0.4738121124511638,731.2074210876544
60,0.46964136677516255,708.1633449481649
61,0.48895468749183013,704.9640485845246
62,0.4677159661774051,718.7291309829341
63,0.48640291366729455,720.3254146560699
64,0.4762880973102505,697.423459696586
65,0.46411061418929855,706.5993486555499
66,0.45241364499217146,717.6485999953165
67,0.4955762428404674,693.2031835435049
68,0.4865888228986807,724.042531814759
69,0.4929460762483021,699.3292752760509
70,0.4855516428215219,702.8954414146228
71,0.47527149061364915,692.2937960227028
72,0.4510385826626062,713.8865827045203
73,0.4912941281357668,717.4981577834229
74,0.47871225510713744,701.2421518218786
75,0.48410596949133566,716.9806571337257
76,0.4564649488873853,713.5917977861985
77,0.5157387959788615,706.0682316471758
78,0.49343881605014506,693.7108404363667
79,0.46345319776575866,702.7828034396857
80,0.4603386807978984,702.446235126174
81,0.45590671149292333,701.9850844284022
82,0.46551584772556426,702.8445694497285
83,0.47085799285852814,709.3938494495166
84,0.46373382187113527,697.6522382713816
85,0.45900512201816784,697.4536485430502
86,0.4847061888522277,696.699069707953
87,0.4738016004651374,701.8025072008784
88,0.49498016432132214,696.0608131567051
89,0.5097748648459626,700.5093808357998
90,0.47852883163988846,698.4809231132245
91,0.4930897512565645,706.3834863532984
92,0.44473954547897904,704.3090244863835
93,0.47483993127723806,697.785470601119
94,0.49746409776286976,698.4437694780358
95,0.48444516658335307,692.9406703993737
96,0.4687685227858126,698.1850100053252
97,0.4610550335287142,692.1779899240446
98,0.4607030153689668,698.4444459500025
99,0.5029426733556779,0.6892060576852769
