,global Epoch,global_accuracy,global_loss
0,0.0,8.09,2.4269454711914062
1,,19.96,2.1958205547332765
2,,30.0,2.065197119140625
3,,30.509999999999998,1.9597775787353515
4,,33.94,1.8723184072494508
5,,40.0,1.756665630340576
6,,41.949999999999996,1.6717438636779784
7,,45.85,1.5697982376098634
8,,47.160000000000004,1.5125682497024535
9,,51.25999999999999,1.4460306438446044
10,,52.459999999999994,1.422551192855835
11,,52.839999999999996,1.38187211933136
12,,53.93,1.3889048265457153
13,,54.72,1.3558042263031005
14,,54.55,1.3513994009017944
15,,56.92,1.3035897102355958
16,,58.050000000000004,1.2833770414352417
17,,58.440000000000005,1.2666091312408447
18,,59.31999999999999,1.2546569507598877
19,,60.629999999999995,1.2352160564422607
20,,60.160000000000004,1.2347967401504516
