,global Epoch,f_uav0,f_uav1,f_uav2,f_uav3,f_uav4,global_accuracy,global_loss
0,0,"{'local epoch0 loss': 1.8130075931549072, 'local epoch1 loss': 2.7879812717437744}","{'local epoch0 loss': 2.0946602821350098, 'local epoch1 loss': 1.4428083896636963}","{'local epoch0 loss': 1.4187556505203247, 'local epoch1 loss': 1.2599067687988281}","{'local epoch0 loss': 1.287933111190796, 'local epoch1 loss': 1.9970016479492188}","{'local epoch0 loss': 3.5894341468811035, 'local epoch1 loss': 3.3754587173461914}",21.2,2.1818619464874267
1,1,"{'local epoch0 loss': 1.704788327217102, 'local epoch1 loss': 3.793081760406494}","{'local epoch0 loss': 1.3039164543151855, 'local epoch1 loss': 1.747994065284729}","{'local epoch0 loss': 0.9997055530548096, 'local epoch1 loss': 1.3673769235610962}","{'local epoch0 loss': 2.439716339111328, 'local epoch1 loss': 1.0196986198425293}","{'local epoch0 loss': 1.5583906173706055, 'local epoch1 loss': 3.808406114578247}",22.66,2.1264858463287353
2,2,"{'local epoch0 loss': 2.208740711212158, 'local epoch1 loss': 1.2065401077270508}","{'local epoch0 loss': 1.0055228471755981, 'local epoch1 loss': 1.0980408191680908}","{'local epoch0 loss': 2.0891361236572266, 'local epoch1 loss': 0.8240116834640503}","{'local epoch0 loss': 1.5330703258514404, 'local epoch1 loss': 0.9387134909629822}","{'local epoch0 loss': 1.1153424978256226, 'local epoch1 loss': 1.0783379077911377}",26.69,2.042511151885986
3,3,"{'local epoch0 loss': 0.46984606981277466, 'local epoch1 loss': 0.5351094007492065}","{'local epoch0 loss': 1.2712175846099854, 'local epoch1 loss': 0.8236181735992432}","{'local epoch0 loss': 1.2915427684783936, 'local epoch1 loss': 0.8318274021148682}","{'local epoch0 loss': 1.1367897987365723, 'local epoch1 loss': 0.6295441389083862}","{'local epoch0 loss': 1.7493736743927002, 'local epoch1 loss': 1.2101166248321533}",33.52,1.8748674686431885
4,4,"{'local epoch0 loss': 0.9760725498199463, 'local epoch1 loss': 2.287277936935425}","{'local epoch0 loss': 1.3704224824905396, 'local epoch1 loss': 2.0365750789642334}","{'local epoch0 loss': 0.621107816696167, 'local epoch1 loss': 2.361330509185791}","{'local epoch0 loss': 1.0590100288391113, 'local epoch1 loss': 1.1505736112594604}","{'local epoch0 loss': 0.8588171005249023, 'local epoch1 loss': 0.897665798664093}",41.71,1.6687085304260254
5,5,"{'local epoch0 loss': 1.0433306694030762, 'local epoch1 loss': 0.3963537812232971}","{'local epoch0 loss': 0.97242671251297, 'local epoch1 loss': 0.5450097918510437}","{'local epoch0 loss': 0.4579959213733673, 'local epoch1 loss': 0.49546587467193604}","{'local epoch0 loss': 0.8107527494430542, 'local epoch1 loss': 0.625584065914154}","{'local epoch0 loss': 1.6530492305755615, 'local epoch1 loss': 0.4587128758430481}",47.65,1.470882473564148
6,6,"{'local epoch0 loss': 1.6152820587158203, 'local epoch1 loss': 0.6041873693466187}","{'local epoch0 loss': 0.7105305194854736, 'local epoch1 loss': 0.5882526636123657}","{'local epoch0 loss': 0.5988532900810242, 'local epoch1 loss': 0.44971808791160583}","{'local epoch0 loss': 0.6987817287445068, 'local epoch1 loss': 0.2485346794128418}","{'local epoch0 loss': 1.2017920017242432, 'local epoch1 loss': 0.8112198710441589}",51.349999999999994,1.3552742601394654
7,7,"{'local epoch0 loss': 0.8102792501449585, 'local epoch1 loss': 0.5089870095252991}","{'local epoch0 loss': 0.9924948811531067, 'local epoch1 loss': 0.3090330958366394}","{'local epoch0 loss': 0.6984707117080688, 'local epoch1 loss': 0.5347509384155273}","{'local epoch0 loss': 0.846967875957489, 'local epoch1 loss': 0.7647351026535034}","{'local epoch0 loss': 0.5595090985298157, 'local epoch1 loss': 0.5047591924667358}",54.1,1.2847034858703614
8,8,"{'local epoch0 loss': 0.9450440406799316, 'local epoch1 loss': 0.7013388276100159}","{'local epoch0 loss': 0.4537251591682434, 'local epoch1 loss': 0.5641636848449707}","{'local epoch0 loss': 0.3366566598415375, 'local epoch1 loss': 0.3490108251571655}","{'local epoch0 loss': 0.6636115312576294, 'local epoch1 loss': 0.4296191334724426}","{'local epoch0 loss': 0.5573335886001587, 'local epoch1 loss': 0.450860857963562}",57.58,1.2058029327392579
9,9,"{'local epoch0 loss': 1.013993263244629, 'local epoch1 loss': 0.4544000029563904}","{'local epoch0 loss': 0.4684903919696808, 'local epoch1 loss': 0.7415602207183838}","{'local epoch0 loss': 0.751634955406189, 'local epoch1 loss': 0.07331721484661102}","{'local epoch0 loss': 0.7769783735275269, 'local epoch1 loss': 0.7019996643066406}","{'local epoch0 loss': 0.7434021234512329, 'local epoch1 loss': 0.43671882152557373}",58.91,1.1554007064819336
10,10,"{'local epoch0 loss': 0.6017217040061951, 'local epoch1 loss': 0.26987791061401367}","{'local epoch0 loss': 0.23489715158939362, 'local epoch1 loss': 0.4740784764289856}","{'local epoch0 loss': 0.5483309030532837, 'local epoch1 loss': 0.38484781980514526}","{'local epoch0 loss': 0.9012174606323242, 'local epoch1 loss': 0.30656173825263977}","{'local epoch0 loss': 0.6372789144515991, 'local epoch1 loss': 0.6053100228309631}",58.91,1.1554007064819336
