,global Epoch,f_uav0,f_uav1,f_uav2,f_uav3,f_uav4,global_accuracy,global_loss
0,0,"{'local epoch0 loss': 1.415766716003418, 'local epoch1 loss': 0.9081223011016846}","{'local epoch0 loss': 1.0471621751785278, 'local epoch1 loss': 0.9264342188835144}","{'local epoch0 loss': 0.651980996131897, 'local epoch1 loss': 0.8995587229728699}","{'local epoch0 loss': 0.46932777762413025, 'local epoch1 loss': 0.558821976184845}","{'local epoch0 loss': 0.792892336845398, 'local epoch1 loss': 0.8402319550514221}",43.16,1.8563612335205077
1,1,"{'local epoch0 loss': 0.9187099933624268, 'local epoch1 loss': 0.8467088937759399}","{'local epoch0 loss': 1.196993350982666, 'local epoch1 loss': 0.7287362813949585}","{'local epoch0 loss': 0.6552306413650513, 'local epoch1 loss': 0.9010031819343567}","{'local epoch0 loss': 1.0019125938415527, 'local epoch1 loss': 0.8798764944076538}","{'local epoch0 loss': 1.3171552419662476, 'local epoch1 loss': 0.8918094635009766}",56.26,1.4303559926986695
2,2,"{'local epoch0 loss': 0.9025456309318542, 'local epoch1 loss': 0.5082272887229919}","{'local epoch0 loss': 1.1171469688415527, 'local epoch1 loss': 0.9415774345397949}","{'local epoch0 loss': 0.6997779607772827, 'local epoch1 loss': 0.5316247940063477}","{'local epoch0 loss': 0.8595314025878906, 'local epoch1 loss': 0.5209217071533203}","{'local epoch0 loss': 0.7036752700805664, 'local epoch1 loss': 0.5149896144866943}",61.150000000000006,1.1397394813537598
3,3,"{'local epoch0 loss': 0.8313171863555908, 'local epoch1 loss': 0.7806570529937744}","{'local epoch0 loss': 0.9666042923927307, 'local epoch1 loss': 0.9495604038238525}","{'local epoch0 loss': 0.5494739413261414, 'local epoch1 loss': 0.5236794948577881}","{'local epoch0 loss': 0.5873854160308838, 'local epoch1 loss': 0.5102967619895935}","{'local epoch0 loss': 0.5019596219062805, 'local epoch1 loss': 0.57802414894104}",66.05,0.964704942703247
4,4,"{'local epoch0 loss': 0.640852689743042, 'local epoch1 loss': 0.39046624302864075}","{'local epoch0 loss': 0.9295539259910583, 'local epoch1 loss': 0.8626975417137146}","{'local epoch0 loss': 0.39969485998153687, 'local epoch1 loss': 0.8665722608566284}","{'local epoch0 loss': 0.4226842522621155, 'local epoch1 loss': 0.4336621165275574}","{'local epoch0 loss': 0.7725359797477722, 'local epoch1 loss': 0.3610818088054657}",69.41000000000001,0.8543560232162476
5,5,"{'local epoch0 loss': 0.8993024826049805, 'local epoch1 loss': 0.49436846375465393}","{'local epoch0 loss': 0.742499828338623, 'local epoch1 loss': 0.7935689687728882}","{'local epoch0 loss': 0.49285390973091125, 'local epoch1 loss': 0.23276831209659576}","{'local epoch0 loss': 0.624436616897583, 'local epoch1 loss': 0.3908836543560028}","{'local epoch0 loss': 0.8425651788711548, 'local epoch1 loss': 0.33924683928489685}",71.78999999999999,0.7859341555595398
6,6,"{'local epoch0 loss': 0.6280600428581238, 'local epoch1 loss': 0.5895456075668335}","{'local epoch0 loss': 0.7028272151947021, 'local epoch1 loss': 0.595033586025238}","{'local epoch0 loss': 0.8448812365531921, 'local epoch1 loss': 0.6546010375022888}","{'local epoch0 loss': 0.5062304139137268, 'local epoch1 loss': 1.09043550491333}","{'local epoch0 loss': 0.7551369071006775, 'local epoch1 loss': 0.362520307302475}",72.87,0.7554750276565552
7,7,"{'local epoch0 loss': 0.8690428137779236, 'local epoch1 loss': 0.6164157390594482}","{'local epoch0 loss': 0.7849017977714539, 'local epoch1 loss': 0.7569764852523804}","{'local epoch0 loss': 0.481212854385376, 'local epoch1 loss': 0.39311784505844116}","{'local epoch0 loss': 0.38167804479599, 'local epoch1 loss': 0.6167899370193481}","{'local epoch0 loss': 0.677941083908081, 'local epoch1 loss': 0.4108487069606781}",74.72,0.7115301104545593
8,8,"{'local epoch0 loss': 0.7077709436416626, 'local epoch1 loss': 0.7269034385681152}","{'local epoch0 loss': 0.6693448424339294, 'local epoch1 loss': 0.37321937084198}","{'local epoch0 loss': 0.2487328201532364, 'local epoch1 loss': 0.35854700207710266}","{'local epoch0 loss': 0.6210106015205383, 'local epoch1 loss': 0.36324572563171387}","{'local epoch0 loss': 0.8162512183189392, 'local epoch1 loss': 0.26999354362487793}",75.52,0.6864954090118408
9,9,"{'local epoch0 loss': 0.6196885108947754, 'local epoch1 loss': 0.4645673632621765}","{'local epoch0 loss': 0.8179188370704651, 'local epoch1 loss': 0.47700488567352295}","{'local epoch0 loss': 0.6975513100624084, 'local epoch1 loss': 0.634354293346405}","{'local epoch0 loss': 0.4575812816619873, 'local epoch1 loss': 0.836264431476593}","{'local epoch0 loss': 0.7027313113212585, 'local epoch1 loss': 0.5272055864334106}",76.83,0.6573406701087952
