,global Epoch,f_uav0,f_uav1,f_uav2,f_uav3,f_uav4,global_accuracy,global_loss
15,15,"{'local epoch0 loss': 0.2578493356704712, 'local epoch1 loss': 0.24756762385368347, 'local epoch2 loss': 0.17068535089492798, 'local epoch3 loss': 0.10735383629798889, 'local epoch4 loss': 0.257718026638031, 'local epoch5 loss': 0.13833987712860107, 'local epoch6 loss': 0.07688472419977188, 'local epoch7 loss': 0.21007849276065826, 'local epoch8 loss': 0.06336091458797455, 'local epoch9 loss': 0.11550299823284149}","{'local epoch0 loss': 0.22539137303829193, 'local epoch1 loss': 0.5354140996932983, 'local epoch2 loss': 0.36542773246765137, 'local epoch3 loss': 0.4014739990234375, 'local epoch4 loss': 0.12773998081684113, 'local epoch5 loss': 0.32418370246887207, 'local epoch6 loss': 0.3776869475841522, 'local epoch7 loss': 0.16446363925933838, 'local epoch8 loss': 0.14213618636131287, 'local epoch9 loss': 0.1879153847694397}","{'local epoch0 loss': 0.24309402704238892, 'local epoch1 loss': 0.38935545086860657, 'local epoch2 loss': 0.41762688755989075, 'local epoch3 loss': 0.19617244601249695, 'local epoch4 loss': 0.2867971956729889, 'local epoch5 loss': 0.131026029586792, 'local epoch6 loss': 0.31088778376579285, 'local epoch7 loss': 0.16744372248649597, 'local epoch8 loss': 0.17115989327430725, 'local epoch9 loss': 0.10548442602157593}","{'local epoch0 loss': 0.11942242085933685, 'local epoch1 loss': 0.195297971367836, 'local epoch2 loss': 0.05196967348456383, 'local epoch3 loss': 0.2828482985496521, 'local epoch4 loss': 0.17937783896923065, 'local epoch5 loss': 0.07528539001941681, 'local epoch6 loss': 0.27679798007011414, 'local epoch7 loss': 0.20108097791671753, 'local epoch8 loss': 0.06952352821826935, 'local epoch9 loss': 0.10388489812612534}","{'local epoch0 loss': 0.09737427532672882, 'local epoch1 loss': 0.20237168669700623, 'local epoch2 loss': 0.1529516875743866, 'local epoch3 loss': 0.15759940445423126, 'local epoch4 loss': 0.16365227103233337, 'local epoch5 loss': 0.05097825080156326, 'local epoch6 loss': 0.2310405820608139, 'local epoch7 loss': 0.21717500686645508, 'local epoch8 loss': 0.08729191869497299, 'local epoch9 loss': 0.13923639059066772}",75.42999999999999,0.772990996837616
16,16,"{'local epoch0 loss': 0.06112638860940933, 'local epoch1 loss': 0.4348815679550171, 'local epoch2 loss': 0.1686287522315979, 'local epoch3 loss': 0.13997897505760193}","{'local epoch0 loss': 0.3358255624771118, 'local epoch1 loss': 0.4095057547092438, 'local epoch2 loss': 0.2111711949110031, 'local epoch3 loss': 0.170694038271904}","{'local epoch0 loss': 0.3911496698856354, 'local epoch1 loss': 0.28717172145843506, 'local epoch2 loss': 0.19023850560188293, 'local epoch3 loss': 0.24941426515579224}","{'local epoch0 loss': 0.08962900191545486, 'local epoch1 loss': 0.12908059358596802, 'local epoch2 loss': 0.10328468680381775, 'local epoch3 loss': 0.21874554455280304}","{'local epoch0 loss': 0.18170785903930664, 'local epoch1 loss': 0.12860578298568726, 'local epoch2 loss': 0.1606726199388504, 'local epoch3 loss': 0.179400235414505}",75.42999999999999,0.772990996837616
17,17,"{'local epoch0 loss': 0.0815916508436203, 'local epoch1 loss': 0.20461151003837585, 'local epoch2 loss': 0.21404050290584564, 'local epoch3 loss': 0.22415849566459656, 'local epoch4 loss': 0.17837786674499512}","{'local epoch0 loss': 0.11505166441202164, 'local epoch1 loss': 0.39755189418792725, 'local epoch2 loss': 0.25372517108917236, 'local epoch3 loss': 0.18275612592697144, 'local epoch4 loss': 0.13945117592811584}","{'local epoch0 loss': 0.24756762385368347, 'local epoch1 loss': 0.34655410051345825, 'local epoch2 loss': 0.16052229702472687, 'local epoch3 loss': 0.26396018266677856, 'local epoch4 loss': 0.48612847924232483}","{'local epoch0 loss': 0.2971673905849457, 'local epoch1 loss': 0.15873441100120544, 'local epoch2 loss': 0.10918000340461731, 'local epoch3 loss': 0.11211390793323517, 'local epoch4 loss': 0.043686673045158386}","{'local epoch0 loss': 0.23565185070037842, 'local epoch1 loss': 0.0946388989686966, 'local epoch2 loss': 0.14221307635307312, 'local epoch3 loss': 0.1495027393102646, 'local epoch4 loss': 0.262031227350235}",75.42999999999999,0.772990996837616
18,18,"{'local epoch0 loss': 0.09381651878356934, 'local epoch1 loss': 0.3257577419281006, 'local epoch2 loss': 0.22133392095565796}","{'local epoch0 loss': 0.4120420217514038, 'local epoch1 loss': 0.20915314555168152, 'local epoch2 loss': 0.5225951671600342}","{'local epoch0 loss': 0.24218283593654633, 'local epoch1 loss': 0.3978695273399353, 'local epoch2 loss': 0.33044445514678955}","{'local epoch0 loss': 0.09308671951293945, 'local epoch1 loss': 0.14306913316249847, 'local epoch2 loss': 0.1687486469745636}","{'local epoch0 loss': 0.2948313057422638, 'local epoch1 loss': 0.32284384965896606, 'local epoch2 loss': 0.09487591683864594}",75.42999999999999,0.772990996837616
19,19,"{'local epoch0 loss': 0.3448849618434906, 'local epoch1 loss': 0.11054062843322754}","{'local epoch0 loss': 0.2567591369152069, 'local epoch1 loss': 0.21780940890312195}","{'local epoch0 loss': 0.12234625220298767, 'local epoch1 loss': 0.13190078735351562}","{'local epoch0 loss': 0.263597697019577, 'local epoch1 loss': 0.03768547624349594}","{'local epoch0 loss': 0.09333883225917816, 'local epoch1 loss': 0.19681918621063232}",75.42999999999999,0.772990996837616
20,20,"{'local epoch0 loss': 0.14208060503005981, 'local epoch1 loss': 0.09097446501255035, 'local epoch2 loss': 0.10955457389354706, 'local epoch3 loss': 0.2904168963432312, 'local epoch4 loss': 0.2149273157119751, 'local epoch5 loss': 0.10554177314043045, 'local epoch6 loss': 0.13544206321239471, 'local epoch7 loss': 0.08706361800432205, 'local epoch8 loss': 0.08174417167901993}","{'local epoch0 loss': 0.22987999022006989, 'local epoch1 loss': 0.19932062923908234, 'local epoch2 loss': 0.28457605838775635, 'local epoch3 loss': 0.31786227226257324, 'local epoch4 loss': 0.13256926834583282, 'local epoch5 loss': 0.1273665726184845, 'local epoch6 loss': 0.27722805738449097, 'local epoch7 loss': 0.18184462189674377, 'local epoch8 loss': 0.23054733872413635}","{'local epoch0 loss': 0.4003101885318756, 'local epoch1 loss': 0.17883004248142242, 'local epoch2 loss': 0.8246594667434692, 'local epoch3 loss': 0.16191986203193665, 'local epoch4 loss': 0.13012149930000305, 'local epoch5 loss': 0.2657102346420288, 'local epoch6 loss': 0.20443177223205566, 'local epoch7 loss': 0.0931612178683281, 'local epoch8 loss': 0.25502079725265503}","{'local epoch0 loss': 0.08970874547958374, 'local epoch1 loss': 0.12954425811767578, 'local epoch2 loss': 0.08473822474479675, 'local epoch3 loss': 0.06428875029087067, 'local epoch4 loss': 0.058193061500787735, 'local epoch5 loss': 0.07028654217720032, 'local epoch6 loss': 0.09713993966579437, 'local epoch7 loss': 0.05397381633520126, 'local epoch8 loss': 0.08797310292720795}","{'local epoch0 loss': 0.19561025500297546, 'local epoch1 loss': 0.07994863390922546, 'local epoch2 loss': 0.1521126627922058, 'local epoch3 loss': 0.09491217881441116, 'local epoch4 loss': 0.12299381196498871, 'local epoch5 loss': 0.07744428515434265, 'local epoch6 loss': 0.1165538877248764, 'local epoch7 loss': 0.24597382545471191, 'local epoch8 loss': 0.04223988577723503}",79.58,0.6451616142272949
21,21,"{'local epoch0 loss': 0.1942366361618042, 'local epoch1 loss': 0.23366054892539978, 'local epoch2 loss': 0.24417167901992798}","{'local epoch0 loss': 0.1650424599647522, 'local epoch1 loss': 0.2158060371875763, 'local epoch2 loss': 0.26857876777648926}","{'local epoch0 loss': 0.22432996332645416, 'local epoch1 loss': 0.2063952088356018, 'local epoch2 loss': 0.16352218389511108}","{'local epoch0 loss': 0.3799758553504944, 'local epoch1 loss': 0.18800663948059082, 'local epoch2 loss': 0.27816981077194214}","{'local epoch0 loss': 0.1444314569234848, 'local epoch1 loss': 0.1942473202943802, 'local epoch2 loss': 0.2758373022079468}",79.58,0.6451616142272949
22,22,"{'local epoch0 loss': 0.21075361967086792, 'local epoch1 loss': 0.22800034284591675}","{'local epoch0 loss': 0.2605475187301636, 'local epoch1 loss': 0.17396976053714752}","{'local epoch0 loss': 0.24781250953674316, 'local epoch1 loss': 0.28281697630882263}","{'local epoch0 loss': 0.27915990352630615, 'local epoch1 loss': 0.12784047424793243}","{'local epoch0 loss': 0.2691766023635864, 'local epoch1 loss': 0.26492390036582947}",79.58,0.6451616142272949
23,23,"{'local epoch0 loss': 0.12595316767692566, 'local epoch1 loss': 0.1407407820224762}","{'local epoch0 loss': 0.20661354064941406, 'local epoch1 loss': 0.42324504256248474}","{'local epoch0 loss': 0.2913281321525574, 'local epoch1 loss': 0.22162635624408722}","{'local epoch0 loss': 0.13776075839996338, 'local epoch1 loss': 0.07675213366746902}","{'local epoch0 loss': 0.17468319833278656, 'local epoch1 loss': 0.12899978458881378}",79.58,0.6451616142272949
24,24,"{'local epoch0 loss': 0.21773284673690796, 'local epoch1 loss': 0.15428447723388672, 'local epoch2 loss': 0.11980126053094864}","{'local epoch0 loss': 0.15910688042640686, 'local epoch1 loss': 0.40430229902267456, 'local epoch2 loss': 0.33523374795913696}","{'local epoch0 loss': 0.15737314522266388, 'local epoch1 loss': 0.20880728960037231, 'local epoch2 loss': 0.10933902114629745}","{'local epoch0 loss': 0.10022270679473877, 'local epoch1 loss': 0.06839115172624588, 'local epoch2 loss': 0.1614616960287094}","{'local epoch0 loss': 0.2876553535461426, 'local epoch1 loss': 0.13563752174377441, 'local epoch2 loss': 0.08621419221162796}",79.58,0.6451616142272949
