,global Epoch,f_uav0,f_uav1,f_uav2,f_uav3,f_uav4,global_accuracy,global_loss
0,0,"{'local epoch0 loss': 3.4232397079467773, 'local epoch1 loss': 3.3041951656341553}","{'local epoch0 loss': 6.339956283569336, 'local epoch1 loss': 3.5209059715270996}","{'local epoch0 loss': 3.819678783416748, 'local epoch1 loss': 3.0390098094940186}","{'local epoch0 loss': 2.546022891998291, 'local epoch1 loss': 3.038303852081299}","{'local epoch0 loss': 4.298986434936523, 'local epoch1 loss': 3.1167922019958496}",33.650000000000006,1.9693922496795655
1,1,"{'local epoch0 loss': 2.985928535461426, 'local epoch1 loss': 4.5971879959106445}","{'local epoch0 loss': 3.66314697265625, 'local epoch1 loss': 4.890530586242676}","{'local epoch0 loss': 3.06282114982605, 'local epoch1 loss': 3.634793281555176}","{'local epoch0 loss': 2.4042234420776367, 'local epoch1 loss': 2.5755112171173096}","{'local epoch0 loss': 4.093503952026367, 'local epoch1 loss': 2.155555248260498}",36.95,1.8370290521621704
2,2,"{'local epoch0 loss': 2.3338046073913574, 'local epoch1 loss': 2.547731876373291}","{'local epoch0 loss': 3.4980547428131104, 'local epoch1 loss': 2.956688404083252}","{'local epoch0 loss': 2.6616158485412598, 'local epoch1 loss': 2.4564428329467773}","{'local epoch0 loss': 1.5293703079223633, 'local epoch1 loss': 3.4973902702331543}","{'local epoch0 loss': 2.4069459438323975, 'local epoch1 loss': 4.091534614562988}",38.83,1.7673992515563965
3,3,"{'local epoch0 loss': 2.8359994888305664, 'local epoch1 loss': 2.517446994781494}","{'local epoch0 loss': 1.8445249795913696, 'local epoch1 loss': 4.199542999267578}","{'local epoch0 loss': 3.0558242797851562, 'local epoch1 loss': 1.809596061706543}","{'local epoch0 loss': 2.391080379486084, 'local epoch1 loss': 1.4451076984405518}","{'local epoch0 loss': 2.1580164432525635, 'local epoch1 loss': 2.1135635375976562}",37.39,1.8112988906860352
4,4,"{'local epoch0 loss': 2.643843173980713, 'local epoch1 loss': 2.208256721496582}","{'local epoch0 loss': 2.1012625694274902, 'local epoch1 loss': 2.6049411296844482}","{'local epoch0 loss': 3.2109203338623047, 'local epoch1 loss': 2.5823373794555664}","{'local epoch0 loss': 2.621142625808716, 'local epoch1 loss': 3.7587599754333496}","{'local epoch0 loss': 2.8364944458007812, 'local epoch1 loss': 1.7207753658294678}",37.29,1.8348822565078735
5,5,"{'local epoch0 loss': 3.1528258323669434, 'local epoch1 loss': 4.979981899261475}","{'local epoch0 loss': 1.9029172658920288, 'local epoch1 loss': 2.999312162399292}","{'local epoch0 loss': 2.897122859954834, 'local epoch1 loss': 2.3355369567871094}","{'local epoch0 loss': 2.7543020248413086, 'local epoch1 loss': 3.9752373695373535}","{'local epoch0 loss': 1.8817869424819946, 'local epoch1 loss': 2.457749366760254}",36.870000000000005,1.9376590492248535
6,6,"{'local epoch0 loss': 2.599787712097168, 'local epoch1 loss': 1.4570783376693726}","{'local epoch0 loss': 1.8630621433258057, 'local epoch1 loss': 2.6923117637634277}","{'local epoch0 loss': 3.8313937187194824, 'local epoch1 loss': 1.6846075057983398}","{'local epoch0 loss': 2.3074865341186523, 'local epoch1 loss': 2.691389560699463}","{'local epoch0 loss': 2.084773540496826, 'local epoch1 loss': 1.59080171585083}",36.25,2.002048857116699
7,7,"{'local epoch0 loss': 1.7072824239730835, 'local epoch1 loss': 2.5317137241363525}","{'local epoch0 loss': 2.483478307723999, 'local epoch1 loss': 1.802345871925354}","{'local epoch0 loss': 2.8027093410491943, 'local epoch1 loss': 3.245450496673584}","{'local epoch0 loss': 1.7332518100738525, 'local epoch1 loss': 2.5571467876434326}","{'local epoch0 loss': 2.9439377784729004, 'local epoch1 loss': 1.363497257232666}",36.65,1.9991936264038086
8,8,"{'local epoch0 loss': 2.4695944786071777, 'local epoch1 loss': 1.9241149425506592}","{'local epoch0 loss': 2.114032745361328, 'local epoch1 loss': 2.546571969985962}","{'local epoch0 loss': 2.2764925956726074, 'local epoch1 loss': 2.0811767578125}","{'local epoch0 loss': 3.280416488647461, 'local epoch1 loss': 1.1920557022094727}","{'local epoch0 loss': 1.855057954788208, 'local epoch1 loss': 2.1287899017333984}",36.38,2.027627628326416
9,9,"{'local epoch0 loss': 2.6999502182006836, 'local epoch1 loss': 2.209909439086914}","{'local epoch0 loss': 2.0000619888305664, 'local epoch1 loss': 1.9855252504348755}","{'local epoch0 loss': 3.1496903896331787, 'local epoch1 loss': 2.9671521186828613}","{'local epoch0 loss': 2.5038135051727295, 'local epoch1 loss': 2.453883647918701}","{'local epoch0 loss': 2.6642966270446777, 'local epoch1 loss': 3.0352890491485596}",37.019999999999996,2.014006859588623
