,global Epoch,f_uav0,f_uav1,f_uav2,f_uav3,f_uav4,global_accuracy,global_loss
0,0,"{'local epoch0 loss': 1.871435523033142, 'local epoch1 loss': 2.6154720783233643, 'local epoch2 loss': 0.6329135894775391, 'local epoch3 loss': 1.1201279163360596, 'local epoch4 loss': 1.9003742933273315, 'local epoch5 loss': 2.82590651512146}","{'local epoch0 loss': 1.851231575012207, 'local epoch1 loss': 1.3118914365768433, 'local epoch2 loss': 2.833113670349121, 'local epoch3 loss': 1.9502111673355103, 'local epoch4 loss': 1.533257246017456, 'local epoch5 loss': 1.4210526943206787}","{'local epoch0 loss': 2.8580124378204346, 'local epoch1 loss': 2.1864874362945557, 'local epoch2 loss': 2.254924774169922, 'local epoch3 loss': 2.7986040115356445, 'local epoch4 loss': 1.5313115119934082, 'local epoch5 loss': 1.3983744382858276}","{'local epoch0 loss': 3.7095720767974854, 'local epoch1 loss': 3.488870620727539, 'local epoch2 loss': 2.3074469566345215, 'local epoch3 loss': 2.1024694442749023, 'local epoch4 loss': 1.2957243919372559, 'local epoch5 loss': 2.3639371395111084}","{'local epoch0 loss': 3.650052547454834, 'local epoch1 loss': 1.1206669807434082, 'local epoch2 loss': 1.7973837852478027, 'local epoch3 loss': 2.093108892440796, 'local epoch4 loss': 2.1794114112854004, 'local epoch5 loss': 1.2768428325653076}",18.32,2.228539822006226
1,1,"{'local epoch0 loss': 1.1619795560836792, 'local epoch1 loss': 0.6032876372337341, 'local epoch2 loss': 0.8561387062072754, 'local epoch3 loss': 0.6443244218826294, 'local epoch4 loss': 0.6078183650970459, 'local epoch5 loss': 0.7300655841827393, 'local epoch6 loss': 0.5062945485115051, 'local epoch7 loss': 0.7296428680419922}","{'local epoch0 loss': 1.360188364982605, 'local epoch1 loss': 0.6516013145446777, 'local epoch2 loss': 1.5719345808029175, 'local epoch3 loss': 0.8968977332115173, 'local epoch4 loss': 1.4159364700317383, 'local epoch5 loss': 0.7817260026931763, 'local epoch6 loss': 0.4236403703689575, 'local epoch7 loss': 0.2613476514816284}","{'local epoch0 loss': 1.5897163152694702, 'local epoch1 loss': 2.7861578464508057, 'local epoch2 loss': 1.8673429489135742, 'local epoch3 loss': 0.8265296220779419, 'local epoch4 loss': 1.4862253665924072, 'local epoch5 loss': 1.7871116399765015, 'local epoch6 loss': 1.4655742645263672, 'local epoch7 loss': 1.204852819442749}","{'local epoch0 loss': 2.5710511207580566, 'local epoch1 loss': 1.0819302797317505, 'local epoch2 loss': 0.6665723919868469, 'local epoch3 loss': 0.9180634021759033, 'local epoch4 loss': 0.5680891275405884, 'local epoch5 loss': 1.133618712425232, 'local epoch6 loss': 0.7447248697280884, 'local epoch7 loss': 0.4115764796733856}","{'local epoch0 loss': 2.403827428817749, 'local epoch1 loss': 2.163555145263672, 'local epoch2 loss': 1.1525354385375977, 'local epoch3 loss': 0.7082727551460266, 'local epoch4 loss': 0.966537594795227, 'local epoch5 loss': 0.884630024433136, 'local epoch6 loss': 0.7542351484298706, 'local epoch7 loss': 2.251718044281006}",19.43,2.1178415058135984
2,2,"{'local epoch0 loss': 0.7216069102287292, 'local epoch1 loss': 0.910171627998352, 'local epoch2 loss': 0.7006305456161499, 'local epoch3 loss': 0.6212072372436523, 'local epoch4 loss': 0.2978326082229614}","{'local epoch0 loss': 1.223632574081421, 'local epoch1 loss': 0.5863040685653687, 'local epoch2 loss': 0.5037034749984741, 'local epoch3 loss': 0.43081337213516235, 'local epoch4 loss': 0.4348818063735962}","{'local epoch0 loss': 0.6239460706710815, 'local epoch1 loss': 0.5460236072540283, 'local epoch2 loss': 0.4362364113330841, 'local epoch3 loss': 0.5429896712303162, 'local epoch4 loss': 0.17465618252754211}","{'local epoch0 loss': 2.071463108062744, 'local epoch1 loss': 1.3935825824737549, 'local epoch2 loss': 0.8972715139389038, 'local epoch3 loss': 0.7161088585853577, 'local epoch4 loss': 0.31569311022758484}","{'local epoch0 loss': 1.1419057846069336, 'local epoch1 loss': 1.0691989660263062, 'local epoch2 loss': 2.0293803215026855, 'local epoch3 loss': 1.761665940284729, 'local epoch4 loss': 0.813251256942749}",27.73,1.9527107265472412
3,3,"{'local epoch0 loss': 1.2964606285095215, 'local epoch1 loss': 0.19194573163986206, 'local epoch2 loss': 0.3675440847873688, 'local epoch3 loss': 0.6759709715843201, 'local epoch4 loss': 0.5290104746818542, 'local epoch5 loss': 0.24258331954479218, 'local epoch6 loss': 0.31223779916763306, 'local epoch7 loss': 0.28021442890167236, 'local epoch8 loss': 0.19614680111408234}","{'local epoch0 loss': 1.2518082857131958, 'local epoch1 loss': 0.5894566178321838, 'local epoch2 loss': 0.3014104962348938, 'local epoch3 loss': 0.423583984375, 'local epoch4 loss': 0.15455591678619385, 'local epoch5 loss': 0.38018131256103516, 'local epoch6 loss': 0.2798611521720886, 'local epoch7 loss': 0.08635424077510834, 'local epoch8 loss': 0.23550960421562195}","{'local epoch0 loss': 0.7950847744941711, 'local epoch1 loss': 0.3103701174259186, 'local epoch2 loss': 0.3069356679916382, 'local epoch3 loss': 0.10508396476507187, 'local epoch4 loss': 0.19425031542778015, 'local epoch5 loss': 0.1430513709783554, 'local epoch6 loss': 0.17822718620300293, 'local epoch7 loss': 0.2244279682636261, 'local epoch8 loss': 0.1128230094909668}","{'local epoch0 loss': 1.2630445957183838, 'local epoch1 loss': 0.5290667414665222, 'local epoch2 loss': 0.727279782295227, 'local epoch3 loss': 0.7809484004974365, 'local epoch4 loss': 0.650104284286499, 'local epoch5 loss': 0.34465011954307556, 'local epoch6 loss': 0.3968113660812378, 'local epoch7 loss': 0.48854586482048035, 'local epoch8 loss': 0.13885247707366943}","{'local epoch0 loss': 0.9716181755065918, 'local epoch1 loss': 0.6056694984436035, 'local epoch2 loss': 0.3912124037742615, 'local epoch3 loss': 0.44017040729522705, 'local epoch4 loss': 0.5381920337677002, 'local epoch5 loss': 0.2859213352203369, 'local epoch6 loss': 2.0884180068969727, 'local epoch7 loss': 0.5390363335609436, 'local epoch8 loss': 0.2920500934123993}",40.36,1.629494246673584
4,4,"{'local epoch0 loss': 0.41596919298171997, 'local epoch1 loss': 0.2795283794403076, 'local epoch2 loss': 0.258490651845932, 'local epoch3 loss': 0.3771401643753052, 'local epoch4 loss': 0.38697004318237305, 'local epoch5 loss': 0.34909623861312866}","{'local epoch0 loss': 0.6583664417266846, 'local epoch1 loss': 0.7192296981811523, 'local epoch2 loss': 0.3513805568218231, 'local epoch3 loss': 0.4685974717140198, 'local epoch4 loss': 0.2839112877845764, 'local epoch5 loss': 0.36320698261260986}","{'local epoch0 loss': 1.0176827907562256, 'local epoch1 loss': 0.35458436608314514, 'local epoch2 loss': 0.17755697667598724, 'local epoch3 loss': 0.34808415174484253, 'local epoch4 loss': 0.5586369037628174, 'local epoch5 loss': 0.1630968600511551}","{'local epoch0 loss': 1.7522739171981812, 'local epoch1 loss': 0.6640993356704712, 'local epoch2 loss': 0.5014100670814514, 'local epoch3 loss': 0.2889198660850525, 'local epoch4 loss': 0.39763566851615906, 'local epoch5 loss': 0.21812719106674194}","{'local epoch0 loss': 0.4654708802700043, 'local epoch1 loss': 0.6142716407775879, 'local epoch2 loss': 0.5241461992263794, 'local epoch3 loss': 0.8960516452789307, 'local epoch4 loss': 0.5889852046966553, 'local epoch5 loss': 0.25430068373680115}",51.2,1.3616208808898926
5,5,"{'local epoch0 loss': 2.9961228370666504, 'local epoch1 loss': 0.19807055592536926, 'local epoch2 loss': 0.4623309373855591, 'local epoch3 loss': 0.2171054184436798, 'local epoch4 loss': 0.09938528388738632, 'local epoch5 loss': 0.43035271763801575, 'local epoch6 loss': 0.015821199864149094}","{'local epoch0 loss': 0.3516961932182312, 'local epoch1 loss': 0.6245030164718628, 'local epoch2 loss': 0.3885800242424011, 'local epoch3 loss': 0.5096924304962158, 'local epoch4 loss': 0.2929002642631531, 'local epoch5 loss': 0.23275016248226166, 'local epoch6 loss': 0.188198521733284}","{'local epoch0 loss': 0.26678699254989624, 'local epoch1 loss': 0.26919135451316833, 'local epoch2 loss': 0.1619078516960144, 'local epoch3 loss': 0.17230287194252014, 'local epoch4 loss': 0.13940435647964478, 'local epoch5 loss': 0.06830016523599625, 'local epoch6 loss': 0.16638146340847015}","{'local epoch0 loss': 0.47452688217163086, 'local epoch1 loss': 0.6237189769744873, 'local epoch2 loss': 0.32254284620285034, 'local epoch3 loss': 0.5655617713928223, 'local epoch4 loss': 0.47651544213294983, 'local epoch5 loss': 0.40240275859832764, 'local epoch6 loss': 0.21521833539009094}","{'local epoch0 loss': 0.4152446389198303, 'local epoch1 loss': 0.6434757113456726, 'local epoch2 loss': 0.4567246735095978, 'local epoch3 loss': 0.3924518823623657, 'local epoch4 loss': 0.18915864825248718, 'local epoch5 loss': 0.11913247406482697, 'local epoch6 loss': 0.28354525566101074}",56.75,1.1884994915008544
6,6,"{'local epoch0 loss': 1.4641826152801514, 'local epoch1 loss': 0.6636596918106079, 'local epoch2 loss': 0.47142547369003296, 'local epoch3 loss': 0.570036768913269, 'local epoch4 loss': 0.355258584022522, 'local epoch5 loss': 0.13929718732833862, 'local epoch6 loss': 0.17079943418502808, 'local epoch7 loss': 0.3854696750640869, 'local epoch8 loss': 0.16955877840518951}","{'local epoch0 loss': 1.7753580808639526, 'local epoch1 loss': 0.17654064297676086, 'local epoch2 loss': 0.7165922522544861, 'local epoch3 loss': 0.07968844473361969, 'local epoch4 loss': 0.08263574540615082, 'local epoch5 loss': 0.14478296041488647, 'local epoch6 loss': 0.28089138865470886, 'local epoch7 loss': 0.0535721480846405, 'local epoch8 loss': 0.20823216438293457}","{'local epoch0 loss': 0.15522457659244537, 'local epoch1 loss': 0.3313669264316559, 'local epoch2 loss': 0.27206510305404663, 'local epoch3 loss': 0.13399562239646912, 'local epoch4 loss': 0.23455406725406647, 'local epoch5 loss': 0.5565015077590942, 'local epoch6 loss': 0.03293154761195183, 'local epoch7 loss': 0.054149046540260315, 'local epoch8 loss': 0.009896873496472836}","{'local epoch0 loss': 0.4801679253578186, 'local epoch1 loss': 0.5478520393371582, 'local epoch2 loss': 0.6318022012710571, 'local epoch3 loss': 0.3426913022994995, 'local epoch4 loss': 0.19681209325790405, 'local epoch5 loss': 0.23419907689094543, 'local epoch6 loss': 0.14090761542320251, 'local epoch7 loss': 0.08862791955471039, 'local epoch8 loss': 0.010305769741535187}","{'local epoch0 loss': 0.3228491544723511, 'local epoch1 loss': 0.11242710798978806, 'local epoch2 loss': 0.4160108268260956, 'local epoch3 loss': 0.2251061201095581, 'local epoch4 loss': 0.13626781105995178, 'local epoch5 loss': 0.1103893518447876, 'local epoch6 loss': 0.3867219388484955, 'local epoch7 loss': 0.06687749177217484, 'local epoch8 loss': 0.07823339104652405}",59.31999999999999,1.1101930062294005
7,7,"{'local epoch0 loss': 0.29409241676330566, 'local epoch1 loss': 0.0925685241818428, 'local epoch2 loss': 0.07317979633808136, 'local epoch3 loss': 0.24787643551826477, 'local epoch4 loss': 0.025012442842125893, 'local epoch5 loss': 0.28730374574661255, 'local epoch6 loss': 0.09701506048440933, 'local epoch7 loss': 0.08242270350456238}","{'local epoch0 loss': 0.3722100257873535, 'local epoch1 loss': 0.2630680501461029, 'local epoch2 loss': 0.1481086015701294, 'local epoch3 loss': 0.05344472825527191, 'local epoch4 loss': 0.2629581391811371, 'local epoch5 loss': 0.2590455710887909, 'local epoch6 loss': 0.1073225736618042, 'local epoch7 loss': 0.10629329085350037}","{'local epoch0 loss': 0.27780112624168396, 'local epoch1 loss': 0.046724505722522736, 'local epoch2 loss': 0.09570489078760147, 'local epoch3 loss': 0.10234306752681732, 'local epoch4 loss': 0.08805099129676819, 'local epoch5 loss': 0.08116421103477478, 'local epoch6 loss': 0.18625307083129883, 'local epoch7 loss': 0.052349042147397995}","{'local epoch0 loss': 0.6138784289360046, 'local epoch1 loss': 0.2601645886898041, 'local epoch2 loss': 0.0964723601937294, 'local epoch3 loss': 0.2803410291671753, 'local epoch4 loss': 0.4109096825122833, 'local epoch5 loss': 0.19708585739135742, 'local epoch6 loss': 0.04659688472747803, 'local epoch7 loss': 0.30493593215942383}","{'local epoch0 loss': 0.9427908658981323, 'local epoch1 loss': 0.5604563355445862, 'local epoch2 loss': 0.2442193627357483, 'local epoch3 loss': 0.1953343152999878, 'local epoch4 loss': 0.6722713112831116, 'local epoch5 loss': 0.11990022659301758, 'local epoch6 loss': 0.13578461110591888, 'local epoch7 loss': 0.24204769730567932}",63.42,1.0225517897605896
8,8,"{'local epoch0 loss': 0.2768307328224182, 'local epoch1 loss': 0.16673588752746582, 'local epoch2 loss': 0.270820677280426, 'local epoch3 loss': 0.40779760479927063}","{'local epoch0 loss': 0.37526482343673706, 'local epoch1 loss': 0.1932423859834671, 'local epoch2 loss': 0.15188753604888916, 'local epoch3 loss': 0.08220066875219345}","{'local epoch0 loss': 0.5607486963272095, 'local epoch1 loss': 0.1314428299665451, 'local epoch2 loss': 0.07288288325071335, 'local epoch3 loss': 0.05685459077358246}","{'local epoch0 loss': 0.26538562774658203, 'local epoch1 loss': 0.20413446426391602, 'local epoch2 loss': 0.3856990337371826, 'local epoch3 loss': 0.1235746219754219}","{'local epoch0 loss': 0.21536168456077576, 'local epoch1 loss': 0.4470056891441345, 'local epoch2 loss': 0.09772864729166031, 'local epoch3 loss': 0.1512940227985382}",65.11,0.9848310709953308
9,9,"{'local epoch0 loss': 0.8678101897239685, 'local epoch1 loss': 0.19937914609909058, 'local epoch2 loss': 0.2258763313293457, 'local epoch3 loss': 0.2180381864309311, 'local epoch4 loss': 0.04387115314602852, 'local epoch5 loss': 0.14044655859470367, 'local epoch6 loss': 0.14400401711463928, 'local epoch7 loss': 0.03523426502943039, 'local epoch8 loss': 0.08398623764514923, 'local epoch9 loss': 0.015461158938705921}","{'local epoch0 loss': 0.35869622230529785, 'local epoch1 loss': 0.22999514639377594, 'local epoch2 loss': 0.2081989347934723, 'local epoch3 loss': 0.1952049732208252, 'local epoch4 loss': 0.06376348435878754, 'local epoch5 loss': 0.04319145902991295, 'local epoch6 loss': 0.1654256284236908, 'local epoch7 loss': 0.14631310105323792, 'local epoch8 loss': 0.28831350803375244, 'local epoch9 loss': 0.33376115560531616}","{'local epoch0 loss': 0.09563901275396347, 'local epoch1 loss': 0.265259325504303, 'local epoch2 loss': 0.15434549748897552, 'local epoch3 loss': 0.1487148404121399, 'local epoch4 loss': 0.29854029417037964, 'local epoch5 loss': 0.10729242861270905, 'local epoch6 loss': 0.10367965698242188, 'local epoch7 loss': 0.24939967691898346, 'local epoch8 loss': 0.04433327168226242, 'local epoch9 loss': 0.07733041048049927}","{'local epoch0 loss': 0.4229588806629181, 'local epoch1 loss': 0.36363017559051514, 'local epoch2 loss': 0.1351655274629593, 'local epoch3 loss': 0.12262234091758728, 'local epoch4 loss': 0.3576715886592865, 'local epoch5 loss': 0.09984122216701508, 'local epoch6 loss': 0.048152655363082886, 'local epoch7 loss': 0.02997720241546631, 'local epoch8 loss': 0.3041878640651703, 'local epoch9 loss': 0.0020742809865623713}","{'local epoch0 loss': 0.5399726033210754, 'local epoch1 loss': 0.37993866205215454, 'local epoch2 loss': 0.34737956523895264, 'local epoch3 loss': 0.12367354333400726, 'local epoch4 loss': 0.05373469367623329, 'local epoch5 loss': 0.2138533592224121, 'local epoch6 loss': 0.2518478333950043, 'local epoch7 loss': 0.1350957453250885, 'local epoch8 loss': 0.1632653772830963, 'local epoch9 loss': 0.05328625068068504}",65.53,0.9755651717185974
