,global Epoch,f_uav0,f_uav1,f_uav2,f_uav3,f_uav4,global_accuracy,global_loss
0,0,"{'local epoch0 loss': 1.1148502826690674, 'local epoch1 loss': 1.9629566669464111}","{'local epoch0 loss': 3.4445385932922363, 'local epoch1 loss': 1.7863099575042725}","{'local epoch0 loss': 2.724152088165283, 'local epoch1 loss': 1.0514945983886719}","{'local epoch0 loss': 1.5738937854766846, 'local epoch1 loss': 2.8045690059661865}","{'local epoch0 loss': 2.080815315246582, 'local epoch1 loss': 2.3984837532043457}",23.01,2.1907155681610107
1,1,"{'local epoch0 loss': 1.7537667751312256, 'local epoch1 loss': 1.991834044456482}","{'local epoch0 loss': 2.217519521713257, 'local epoch1 loss': 1.8330317735671997}","{'local epoch0 loss': 0.7972782850265503, 'local epoch1 loss': 0.6972994804382324}","{'local epoch0 loss': 3.455488681793213, 'local epoch1 loss': 0.9306674599647522}","{'local epoch0 loss': 3.0389153957366943, 'local epoch1 loss': 1.9492788314819336}",23.26,2.0850493192672728
2,2,"{'local epoch0 loss': 1.9407734870910645, 'local epoch1 loss': 1.420538067817688}","{'local epoch0 loss': 1.9306509494781494, 'local epoch1 loss': 1.0573673248291016}","{'local epoch0 loss': 1.7275651693344116, 'local epoch1 loss': 1.617957353591919}","{'local epoch0 loss': 2.6084961891174316, 'local epoch1 loss': 1.738226294517517}","{'local epoch0 loss': 1.7468465566635132, 'local epoch1 loss': 2.1169040203094482}",26.87,1.9823574836730957
3,3,"{'local epoch0 loss': 0.9023212194442749, 'local epoch1 loss': 1.3795008659362793}","{'local epoch0 loss': 1.551600456237793, 'local epoch1 loss': 1.240739107131958}","{'local epoch0 loss': 1.1216005086898804, 'local epoch1 loss': 0.8776467442512512}","{'local epoch0 loss': 1.7236154079437256, 'local epoch1 loss': 1.2843191623687744}","{'local epoch0 loss': 2.114370584487915, 'local epoch1 loss': 1.241119384765625}",29.830000000000002,1.8692268798828124
4,4,"{'local epoch0 loss': 2.906559944152832, 'local epoch1 loss': 1.8429220914840698}","{'local epoch0 loss': 1.3211777210235596, 'local epoch1 loss': 1.1996725797653198}","{'local epoch0 loss': 1.462589979171753, 'local epoch1 loss': 1.6855950355529785}","{'local epoch0 loss': 0.9634190201759338, 'local epoch1 loss': 1.6679414510726929}","{'local epoch0 loss': 1.7429413795471191, 'local epoch1 loss': 1.174667477607727}",34.839999999999996,1.7666874948501587
5,5,"{'local epoch0 loss': 2.057631254196167, 'local epoch1 loss': 0.9240638613700867}","{'local epoch0 loss': 2.333357572555542, 'local epoch1 loss': 1.5151712894439697}","{'local epoch0 loss': 1.175154209136963, 'local epoch1 loss': 1.0455199480056763}","{'local epoch0 loss': 0.9181163311004639, 'local epoch1 loss': 1.49306321144104}","{'local epoch0 loss': 1.0614314079284668, 'local epoch1 loss': 1.0135548114776611}",38.53,1.6005210075378418
6,6,"{'local epoch0 loss': 1.4817222356796265, 'local epoch1 loss': 0.8727131485939026}","{'local epoch0 loss': 0.4550853669643402, 'local epoch1 loss': 0.6890015602111816}","{'local epoch0 loss': 0.5713651180267334, 'local epoch1 loss': 0.9904710650444031}","{'local epoch0 loss': 0.7113035917282104, 'local epoch1 loss': 0.7011579275131226}","{'local epoch0 loss': 0.8479182124137878, 'local epoch1 loss': 0.8579221367835999}",46.22,1.4625565927505493
7,7,"{'local epoch0 loss': 0.9257619380950928, 'local epoch1 loss': 0.8188213109970093}","{'local epoch0 loss': 1.6382898092269897, 'local epoch1 loss': 0.6484850645065308}","{'local epoch0 loss': 0.6650831699371338, 'local epoch1 loss': 0.6730750799179077}","{'local epoch0 loss': 1.5505797863006592, 'local epoch1 loss': 0.5258354544639587}","{'local epoch0 loss': 1.0646121501922607, 'local epoch1 loss': 0.6945851445198059}",48.980000000000004,1.3587473335266114
8,8,"{'local epoch0 loss': 0.9604713916778564, 'local epoch1 loss': 1.8866395950317383}","{'local epoch0 loss': 1.270766258239746, 'local epoch1 loss': 1.2078896760940552}","{'local epoch0 loss': 0.8078035116195679, 'local epoch1 loss': 0.5590176582336426}","{'local epoch0 loss': 1.0031039714813232, 'local epoch1 loss': 1.156066656112671}","{'local epoch0 loss': 0.7342430353164673, 'local epoch1 loss': 0.4798354506492615}",47.949999999999996,1.3799880077362061
9,9,"{'local epoch0 loss': 0.5558425784111023, 'local epoch1 loss': 0.694923996925354}","{'local epoch0 loss': 0.6636972427368164, 'local epoch1 loss': 0.4166713058948517}","{'local epoch0 loss': 0.7451564073562622, 'local epoch1 loss': 0.7844657301902771}","{'local epoch0 loss': 0.8697521686553955, 'local epoch1 loss': 1.3299099206924438}","{'local epoch0 loss': 0.6257729530334473, 'local epoch1 loss': 0.7908552289009094}",53.68000000000001,1.2573504959106445
10,10,"{'local epoch0 loss': 0.3875765800476074, 'local epoch1 loss': 0.7728712558746338}","{'local epoch0 loss': 0.6856714487075806, 'local epoch1 loss': 0.8012621998786926}","{'local epoch0 loss': 0.573589026927948, 'local epoch1 loss': 0.3757036626338959}","{'local epoch0 loss': 0.908597469329834, 'local epoch1 loss': 0.6265215873718262}","{'local epoch0 loss': 0.9792677164077759, 'local epoch1 loss': 0.7928097248077393}",53.68000000000001,1.2573504959106445
11,11,"{'local epoch0 loss': 0.8104448318481445, 'local epoch1 loss': 0.5860509872436523}","{'local epoch0 loss': 0.8409146070480347, 'local epoch1 loss': 0.4700391888618469}","{'local epoch0 loss': 0.26919791102409363, 'local epoch1 loss': 0.5398861169815063}","{'local epoch0 loss': 1.0640394687652588, 'local epoch1 loss': 1.1974108219146729}","{'local epoch0 loss': 0.42162710428237915, 'local epoch1 loss': 0.551133394241333}",53.68000000000001,1.2573504959106445
12,12,"{'local epoch0 loss': 0.6707396507263184, 'local epoch1 loss': 0.7124321460723877}","{'local epoch0 loss': 0.6465466022491455, 'local epoch1 loss': 0.6902520656585693}","{'local epoch0 loss': 0.396862268447876, 'local epoch1 loss': 0.3195062279701233}","{'local epoch0 loss': 0.7881523370742798, 'local epoch1 loss': 0.6329825520515442}","{'local epoch0 loss': 0.7783089876174927, 'local epoch1 loss': 0.6241335272789001}",53.68000000000001,1.2573504959106445
13,13,"{'local epoch0 loss': 0.9647084474563599, 'local epoch1 loss': 1.2110908031463623}","{'local epoch0 loss': 0.8784018158912659, 'local epoch1 loss': 0.9197046756744385}","{'local epoch0 loss': 0.21475742757320404, 'local epoch1 loss': 0.5970958471298218}","{'local epoch0 loss': 0.5777124166488647, 'local epoch1 loss': 0.8933407068252563}","{'local epoch0 loss': 0.4685841202735901, 'local epoch1 loss': 0.8018572330474854}",53.68000000000001,1.2573504959106445
14,14,"{'local epoch0 loss': 0.7463502883911133, 'local epoch1 loss': 0.6579287052154541}","{'local epoch0 loss': 1.11836838722229, 'local epoch1 loss': 0.5983552932739258}","{'local epoch0 loss': 0.4946460723876953, 'local epoch1 loss': 0.4335569739341736}","{'local epoch0 loss': 1.1159011125564575, 'local epoch1 loss': 1.0495209693908691}","{'local epoch0 loss': 0.8904415369033813, 'local epoch1 loss': 0.3828597068786621}",53.68000000000001,1.2573504959106445
15,15,"{'local epoch0 loss': 0.6196457147598267, 'local epoch1 loss': 0.3800106644630432}","{'local epoch0 loss': 0.5861892700195312, 'local epoch1 loss': 0.6727775931358337}","{'local epoch0 loss': 0.2642054855823517, 'local epoch1 loss': 0.4887717366218567}","{'local epoch0 loss': 1.212214469909668, 'local epoch1 loss': 0.5416749715805054}","{'local epoch0 loss': 0.9808977246284485, 'local epoch1 loss': 0.6082738041877747}",53.68000000000001,1.2573504959106445
16,16,"{'local epoch0 loss': 0.5751305818557739, 'local epoch1 loss': 0.4951099455356598}","{'local epoch0 loss': 0.7568943500518799, 'local epoch1 loss': 0.4396413564682007}","{'local epoch0 loss': 0.5505860447883606, 'local epoch1 loss': 0.5246315002441406}","{'local epoch0 loss': 0.772399365901947, 'local epoch1 loss': 0.46599793434143066}","{'local epoch0 loss': 0.7355728149414062, 'local epoch1 loss': 0.3784506618976593}",53.68000000000001,1.2573504959106445
17,17,"{'local epoch0 loss': 0.6831490993499756, 'local epoch1 loss': 0.5082324743270874}","{'local epoch0 loss': 0.5360235571861267, 'local epoch1 loss': 0.5205065011978149}","{'local epoch0 loss': 0.1853756159543991, 'local epoch1 loss': 0.41362106800079346}","{'local epoch0 loss': 0.7601882219314575, 'local epoch1 loss': 0.27176570892333984}","{'local epoch0 loss': 0.5660940408706665, 'local epoch1 loss': 1.0408434867858887}",53.68000000000001,1.2573504959106445
18,18,"{'local epoch0 loss': 0.6149560213088989, 'local epoch1 loss': 0.781719446182251}","{'local epoch0 loss': 0.5251597762107849, 'local epoch1 loss': 0.618932843208313}","{'local epoch0 loss': 0.5928286910057068, 'local epoch1 loss': 0.3095625340938568}","{'local epoch0 loss': 0.9105052351951599, 'local epoch1 loss': 0.654698371887207}","{'local epoch0 loss': 0.38562527298927307, 'local epoch1 loss': 1.7114956378936768}",53.68000000000001,1.2573504959106445
19,19,"{'local epoch0 loss': 0.5407263040542603, 'local epoch1 loss': 0.6539814472198486}","{'local epoch0 loss': 0.805126428604126, 'local epoch1 loss': 0.4231456518173218}","{'local epoch0 loss': 0.4295302927494049, 'local epoch1 loss': 0.4349166452884674}","{'local epoch0 loss': 0.4866296052932739, 'local epoch1 loss': 0.448527991771698}","{'local epoch0 loss': 0.48735740780830383, 'local epoch1 loss': 0.7211310267448425}",53.68000000000001,1.2573504959106445
20,20,"{'local epoch0 loss': 0.5570943355560303, 'local epoch1 loss': 0.632169246673584}","{'local epoch0 loss': 0.4476546049118042, 'local epoch1 loss': 0.25815507769584656}","{'local epoch0 loss': 0.4665423333644867, 'local epoch1 loss': 0.2874349355697632}","{'local epoch0 loss': 1.1456948518753052, 'local epoch1 loss': 0.6526002287864685}","{'local epoch0 loss': 0.3350556492805481, 'local epoch1 loss': 0.7978148460388184}",67.23,0.9554357173919678
21,21,"{'local epoch0 loss': 0.8227964639663696, 'local epoch1 loss': 0.26309457421302795}","{'local epoch0 loss': 0.961769700050354, 'local epoch1 loss': 0.3423560857772827}","{'local epoch0 loss': 0.22389662265777588, 'local epoch1 loss': 0.2602253556251526}","{'local epoch0 loss': 0.372797429561615, 'local epoch1 loss': 0.5861542820930481}","{'local epoch0 loss': 0.2648398280143738, 'local epoch1 loss': 0.6339315176010132}",67.23,0.9554357173919678
22,22,"{'local epoch0 loss': 0.44527482986450195, 'local epoch1 loss': 0.2697329819202423}","{'local epoch0 loss': 0.7676864862442017, 'local epoch1 loss': 0.5722203254699707}","{'local epoch0 loss': 0.27208173274993896, 'local epoch1 loss': 0.21920424699783325}","{'local epoch0 loss': 0.8738712072372437, 'local epoch1 loss': 0.3213024139404297}","{'local epoch0 loss': 0.4025384187698364, 'local epoch1 loss': 0.4141516387462616}",67.23,0.9554357173919678
