,l_x,l_y,l_z,f_x,f_y,f_z
0,3.1011226661450326,0.7097796241943366,150.0,[ 22.94291828  38.90957352 140.        ],[ 15.41817041  10.35197792 140.        ],[ 12.0883418   15.43525219 140.        ]
1,6.178802493113659,1.5345573778811523,150.0,[ 24.17213994  35.05847697 140.        ],[ 17.66258034   9.78402874 140.        ],[ 12.38078631  17.63290703 140.        ]
2,9.331453350480931,2.234071070498943,150.0,[ 24.27010186  37.85673247 140.        ],[ 20.2153832   12.30757745 140.        ],[ 15.39299683  15.14805863 140.        ]
3,12.36755831163471,3.087616666754768,150.0,[ 24.45696367  34.78931489 140.        ],[ 23.64361256  14.46564625 140.        ],[ 17.08690051  12.98720429 140.        ]
4,15.401681879045066,3.9461965672665285,150.0,[ 25.15729511  32.68651607 140.        ],[ 26.83568102  13.58221163 140.        ],[ 19.06354606  14.37085659 140.        ]
5,18.58228815493099,4.726165290345345,150.0,[ 26.12010038  35.76115276 140.        ],[ 28.29661587  10.41253647 140.        ],[ 20.41004426  11.49243464 140.        ]
6,21.393397734910597,5.343435621815514,150.0,[ 26.9995967   38.05173305 140.        ],[ 32.05246158  11.94993513 140.        ],[ 22.41064263  13.50491474 140.        ]
7,24.321745834776934,6.027203497587725,150.0,[ 28.40197349  34.3314743  140.        ],[ 32.52569744  14.90711122 140.        ],[ 26.48013637  12.85921868 140.        ]
8,27.23526126817089,6.69895069608378,150.0,[ 30.62411124  32.98549217 140.        ],[ 36.50872303  15.24650832 140.        ],[ 27.63922469  15.95433028 140.        ]
9,30.302982106774706,7.352820890939978,150.0,[ 32.37079523  30.08096724 140.        ],[ 37.39443088  13.31946255 140.        ],[ 28.48588797  19.89265476 140.        ]
10,33.10371449883544,7.7320747884199825,150.0,[ 32.60022321  26.41226887 140.        ],[ 37.69650196   9.65936413 140.        ],[ 28.8435032   15.88183433 140.        ]
11,35.45954340311082,7.504046166989587,150.0,[ 35.56979189  27.23226942 140.        ],[ 37.99298806  12.75390731 140.        ],[ 32.46363178  16.58456134 140.        ]
12,37.93712492581185,7.483776917705107,150.0,[ 38.02218939  27.67013441 140.        ],[ 39.51070329   9.43310351 140.        ],[ 32.98835969  13.82997163 140.        ]
13,40.099333037836324,6.988156430571102,150.0,[ 38.52926467  25.46591822 140.        ],[ 39.76759198  11.92310339 140.        ],[ 36.40696849  14.57272941 140.        ]
14,42.25120618407735,6.547127589809022,150.0,[ 40.95345927  22.88193767 140.        ],[ 42.19600802  11.87556589 140.        ],[ 39.394519    15.75510359 140.        ]
15,44.36500894936856,6.260384419370812,150.0,[ 42.64828979  21.78656114 140.        ],[ 42.27180736  13.99412867 140.        ],[ 42.24732373  16.48514589 140.        ]
16,46.48688588994402,6.102155659140714,150.0,[ 45.81482757  23.1535092  140.        ],[ 44.29496771  11.38882818 140.        ],[ 43.99946214  18.26788589 140.        ]
17,48.56736732791741,5.764646846426137,150.0,[ 48.50254516  20.68145634 140.        ],[ 44.79178856   9.02572506 140.        ],[ 46.45253571  20.50094052 140.        ]
18,50.62915455419374,5.445583687369443,150.0,[ 49.11077767  24.53548532 140.        ],[ 46.80717419   9.38826207 140.        ],[ 47.10575409  22.90670079 140.        ]
19,52.69957909665416,5.3826173159187825,150.0,[ 51.92161927  23.57189181 140.        ],[ 47.17660327  12.57493575 140.        ],[ 48.71604547  20.25948797 140.        ]
